Slope_Angle,Elevation,Soil_Type,Rainfall_72h,Soil_Saturation,Landslide_Risk
16.9,650.5,2,250.2,84.1,64.8
24.4,188.2,3,164.3,67.9,39.0
10.2,35.0,1,347.9,70.5,60.8
30.7,946.1,1,256.8,17.4,75.0
14.4,908.6,2,181.3,22.5,37.9
10.7,2174.6,2,281.6,76.6,59.0
26.1,1038.9,1,246.7,79.8,86.0
0.8,571.6,1,85.3,61.1,23.4
0.9,1961.8,1,185.6,65.2,47.0
11.3,1085.4,2,194.6,67.2,48.0
2.3,1322.2,2,157.9,23.9,26.4
5.8,219.5,1,62.7,71.8,24.2
17.3,848.6,2,78.2,55.7,27.9
40.2,2077.8,1,98.4,66.2,79.9
28.8,1301.0,2,3.6,62.9,32.6
25.9,764.5,2,320.9,79.9,78.7
15.0,1380.2,2,240.1,42.1,50.1
46.6,2003.8,1,241.4,46.7,96.4
20.2,610.0,1,200.3,48.3,61.8
4.8,1116.2,2,241.3,79.8,53.3
31.0,2109.5,1,343.7,51.6,83.5
6.1,387.5,3,134.8,30.1,17.2
17.6,1586.1,2,249.4,98.6,67.6
25.6,1355.7,2,125.8,56.9,47.5
43.8,1498.5,2,299.0,24.3,78.9
24.9,779.2,1,300.3,72.0,80.9
35.3,697.4,2,315.8,77.8,87.5
49.6,1508.4,3,1.9,57.5,31.0
7.0,482.0,1,104.4,69.9,32.5
14.1,929.0,2,46.9,29.7,11.5
20.0,422.1,2,158.9,46.3,42.9
21.4,28.2,2,173.4,28.8,40.7
20.8,2134.4,1,89.6,47.9,35.8
45.4,955.4,2,253.2,62.8,90.1
35.8,2132.9,3,94.4,52.6,38.6
30.6,317.3,1,298.9,65.4,88.1
15.8,1296.3,2,62.2,57.6,25.5
41.3,450.1,2,128.5,42.0,63.7
47.8,1740.3,2,217.8,27.2,81.9
41.1,1726.3,2,211.9,36.5,78.4
0.6,256.6,2,27.3,32.1,2.3
32.0,2007.4,1,296.2,75.1,95.8
3.0,436.2,3,209.3,84.7,36.7
13.3,1352.4,2,304.5,76.2,62.2
3.4,2168.5,1,303.7,69.7,57.3
30.4,1942.4,2,191.1,41.2,64.4
34.5,2104.9,2,318.8,75.4,87.8
6.2,760.3,3,296.9,66.4,32.5
19.5,241.2,3,335.3,19.0,35.8
23.1,422.5,3,297.7,92.1,48.7
18.8,1106.1,1,287.4,21.8,57.4
6.5,1747.2,3,164.3,57.7,23.4
21.2,338.8,3,74.2,58.6,19.4
37.7,1454.8,1,318.7,86.1,99.5
4.0,718.6,1,252.9,92.6,67.6
4.5,757.2,2,98.6,94.9,33.8
18.1,1459.6,2,119.3,63.4,42.1
47.1,1032.7,1,240.1,72.7,99.5
33.6,1788.4,1,167.2,22.5,66.1
34.1,351.5,1,28.5,56.5,51.4
18.4,1740.0,2,49.5,91.3,38.1
29.9,150.7,1,261.0,53.7,83.0
1.0,435.0,2,115.0,20.9,16.6
32.0,1447.0,1,177.7,32.1,69.0
45.7,1882.3,3,268.3,51.5,54.0
30.8,563.4,3,262.9,35.2,42.5
43.7,726.5,3,58.5,48.3,33.4
36.3,1186.3,2,34.4,43.3,42.2
6.5,473.3,1,206.9,42.1,46.7
45.2,1786.4,2,259.6,22.7,78.4
3.8,1704.3,1,52.2,90.0,30.4
26.9,328.2,3,130.2,73.9,37.1
7.5,1025.8,1,304.6,68.0,59.9
1.1,1706.9,2,330.5,66.5,49.1
21.4,748.8,2,158.9,48.7,47.1
15.1,1396.5,3,27.8,85.0,16.9
24.6,120.0,2,90.2,94.1,49.0
29.1,1343.0,2,81.5,15.5,33.9
2.7,344.3,2,83.6,21.7,10.4
6.6,1829.0,2,172.9,72.4,40.8
28.2,788.4,1,204.1,35.1,71.0
17.5,626.6,3,42.9,92.5,22.2
36.6,1851.5,2,311.3,71.7,89.3
32.8,119.8,1,217.0,46.3,85.0
42.4,878.6,3,209.0,50.3,54.8
34.8,820.3,2,345.5,73.7,91.2
21.8,633.7,3,219.9,27.0,39.2
33.8,2006.7,3,325.1,90.1,60.8
14.1,1654.5,2,100.2,15.4,19.7
15.7,150.0,1,84.0,98.2,47.7
39.6,1575.2,1,180.8,29.2,80.1
22.6,1164.8,3,178.0,78.1,42.6
40.0,1982.9,3,79.3,18.4,30.2
41.2,695.4,2,244.9,51.7,85.6
42.9,1267.4,2,10.4,68.6,56.0
45.9,1106.7,1,241.7,21.0,92.6
21.8,1082.1,3,160.0,52.7,29.2
16.3,1008.9,1,241.2,40.8,56.8
29.3,460.3,1,167.0,57.4,71.3
18.9,1665.0,2,342.1,57.9,58.7
30.3,998.4,1,117.1,81.7,70.2
35.4,2109.2,3,343.9,25.5,48.6
34.6,581.2,1,22.7,22.0,41.2
19.0,1505.2,1,239.3,49.2,63.5
8.8,2070.2,2,159.0,90.4,50.4
21.8,1463.0,2,287.7,87.7,72.5
7.6,1918.1,1,276.4,62.6,55.9
44.6,1822.2,2,280.1,90.5,99.5
17.6,798.7,2,33.2,83.5,32.6
8.1,1324.3,3,287.8,38.6,25.7
1.8,352.2,1,74.9,29.5,9.8
32.5,1182.8,3,9.0,40.6,23.7
32.0,514.6,2,76.2,34.3,39.2
17.4,1638.8,1,167.7,67.9,57.7
4.0,1166.4,1,259.7,64.7,55.7
20.8,910.6,2,76.5,65.9,37.3
15.9,598.7,1,39.6,31.1,17.1
34.0,2197.1,1,226.1,82.3,99.5
30.5,167.0,1,344.4,51.9,85.9
18.5,105.4,2,210.3,55.2,55.1
11.3,485.8,2,241.9,99.7,61.7
49.4,2136.6,1,196.4,39.0,90.0
23.0,2154.5,2,273.8,48.5,58.8
34.6,1444.3,2,341.5,72.5,86.1
7.5,1937.4,1,190.4,89.8,61.1
24.5,478.6,3,145.9,25.8,25.3
1.9,2138.8,2,301.1,77.5,50.8
25.5,322.7,3,339.4,93.1,50.5
48.2,231.5,1,45.2,50.9,60.6
19.5,255.7,3,202.4,39.4,30.2
2.4,1265.2,2,277.4,72.6,51.9
2.0,1720.3,2,186.7,35.9,32.5
19.7,813.0,2,143.2,47.7,40.2
8.4,2151.6,1,229.3,91.2,67.4
1.7,961.4,3,94.5,65.2,16.0
37.9,339.5,2,122.2,23.1,57.0
23.2,1030.5,1,347.3,43.0,68.5
14.8,1497.1,1,222.8,68.3,64.4
45.1,1832.6,1,305.5,55.9,99.5
6.2,1014.7,2,282.7,71.1,49.7
47.8,1310.0,2,228.3,79.7,95.9
16.0,595.5,2,294.3,55.9,52.8
44.5,1424.6,1,100.5,98.9,86.4
30.3,2169.3,2,223.0,92.7,85.2
41.4,117.4,2,206.7,20.1,77.3
49.2,1951.5,1,217.8,37.6,95.3
14.8,1241.4,1,59.0,40.5,20.4
48.1,562.1,1,97.0,30.7,65.2
19.8,2101.2,3,100.3,41.5,20.5
19.6,1068.5,2,210.7,51.1,56.0
17.3,736.4,3,340.4,19.4,33.3
27.3,407.5,1,333.9,25.8,69.5
8.1,545.4,3,79.5,23.2,11.0
27.9,1833.9,2,106.7,18.9,37.8
27.3,1355.6,2,12.6,55.9,28.8
38.2,2010.0,1,139.6,43.4,71.8
41.8,518.0,2,292.1,94.5,98.2
22.3,275.3,3,320.5,23.7,32.8
15.5,23.3,1,82.8,93.7,45.4
13.3,1122.2,1,93.0,22.4,23.0
10.1,2196.3,2,77.3,67.6,25.0
3.4,1532.0,3,122.5,36.1,10.3
17.5,685.4,2,281.7,85.3,66.0
13.9,1930.3,1,226.4,20.2,52.5
48.3,1722.0,2,275.1,96.0,99.5
28.1,43.8,1,204.1,19.0,67.3
17.7,1798.9,3,90.2,35.5,12.8
29.2,668.2,2,79.8,54.5,42.4
7.4,337.8,2,3.2,79.3,16.2
22.5,505.7,1,273.3,95.8,85.5
31.5,1036.2,3,296.5,51.4,48.0
24.7,940.5,2,268.9,79.4,73.0
20.4,642.7,3,26.0,76.8,20.0
49.7,387.2,2,266.8,63.5,91.1
44.1,1679.3,2,16.0,73.7,54.3
31.4,2178.3,2,37.0,18.2,34.5
28.7,1713.4,1,154.2,52.5,63.5
31.2,658.1,3,166.7,81.8,48.3
10.5,546.1,1,285.6,55.3,54.4
20.1,486.7,2,237.8,89.2,71.3
2.5,309.4,3,53.7,85.9,16.0
24.0,1217.4,1,79.2,88.4,57.9
27.4,1335.8,2,100.0,26.0,36.8
11.8,1555.1,2,43.3,35.8,10.8
48.2,1499.7,2,100.7,17.5,56.8
45.5,650.2,3,255.0,98.5,67.8
36.2,733.4,2,84.5,35.1,44.7
26.9,1502.5,2,292.4,46.2,65.1
43.6,775.3,1,164.3,38.4,76.9
7.0,475.6,1,113.0,18.4,20.2
39.6,829.8,2,144.3,37.2,66.8
6.7,605.9,2,248.3,23.3,40.9
39.8,203.4,1,180.9,48.5,90.0
14.2,1828.0,2,2.5,97.2,26.4
43.9,1878.3,1,322.8,74.4,99.5
47.2,491.3,2,23.1,75.1,61.3
7.9,151.9,1,328.5,53.5,53.2
23.4,1628.0,2,9.9,84.0,36.9
49.1,473.2,2,269.8,92.2,99.4
24.4,871.6,3,187.1,96.7,47.7
43.2,150.5,2,177.0,23.4,73.2
29.6,505.5,2,25.5,89.8,46.4
19.1,1746.5,3,83.6,34.1,16.4
14.6,1771.6,2,272.1,48.8,51.6
10.6,463.5,1,311.9,44.4,52.8
38.2,745.7,3,185.2,72.4,54.7
19.6,304.0,2,123.7,65.8,44.8
25.8,172.4,2,21.0,24.3,20.1
24.9,2182.9,2,238.8,81.5,74.5
29.1,1445.8,3,97.5,52.4,29.7
43.3,1197.2,3,19.3,15.2,29.4
49.0,1686.4,3,233.0,50.2,54.2
20.7,1849.8,1,170.0,58.9,59.3
41.5,1776.7,2,4.2,20.9,41.3
38.3,46.2,1,38.8,27.8,49.2
28.9,419.1,1,244.7,99.5,96.1
47.8,1444.2,3,22.3,89.1,38.7
10.4,832.9,1,303.1,26.3,49.5
5.9,2161.6,2,109.0,64.3,27.6
42.8,1467.2,2,31.0,47.2,47.2
22.2,2104.8,2,265.9,61.2,63.2
42.4,451.2,1,183.5,55.0,94.8
44.7,1902.1,1,107.3,19.1,66.9
3.6,713.8,2,142.1,41.8,23.6
44.2,2177.1,1,7.5,25.7,47.1
22.7,355.3,3,231.9,56.6,41.6
25.8,1140.8,2,128.0,92.1,61.6
31.5,1746.3,2,249.9,99.6,87.4
46.4,957.5,3,219.9,95.3,64.6
1.4,1035.1,1,227.9,98.8,67.9
24.1,2170.1,2,277.5,16.3,56.1
34.5,941.4,1,220.9,77.0,98.4
36.3,1332.9,2,146.6,38.2,63.1
34.8,129.4,2,136.5,88.6,75.4
7.2,1854.4,1,41.9,84.2,24.8
15.3,1429.5,1,272.8,51.0,59.9
18.3,894.8,2,266.4,55.2,56.7
40.3,45.4,2,86.2,37.5,54.0
14.3,1305.8,1,301.9,39.5,54.0
10.9,37.7,2,206.2,98.4,58.5
47.9,12.6,2,167.5,90.6,91.1
0.9,1359.3,2,6.1,31.3,0.5
49.9,423.9,2,134.0,38.4,61.7
34.0,430.2,1,224.2,24.2,80.8
41.5,1440.7,2,31.4,99.1,63.2
15.1,127.6,3,160.8,92.1,30.8
1.2,696.4,2,347.7,61.9,47.6
37.0,337.3,2,250.8,73.9,91.0
41.8,1280.6,2,191.4,78.6,90.6
37.2,1459.3,1,186.6,32.3,80.8
7.6,1589.3,2,15.3,94.4,21.3
37.8,569.0,3,335.1,59.8,54.9
38.6,205.5,1,324.9,22.9,88.2
33.1,182.3,3,238.8,48.8,46.3
38.4,943.3,1,34.7,66.1,62.8
42.4,2081.4,2,72.7,45.0,55.8
30.9,486.8,3,64.4,74.4,32.0
4.9,572.3,2,181.9,90.0,47.8
24.6,230.9,3,72.7,80.6,29.9
4.3,1336.2,3,243.5,69.6,31.5
20.7,1498.9,2,190.8,58.5,55.7
20.7,1418.0,2,6.2,36.6,12.5
3.8,1895.9,1,260.4,53.7,51.6
17.8,1075.3,1,66.1,39.9,23.3
6.0,304.5,2,288.7,94.4,54.7
40.5,643.8,2,124.3,92.1,83.4
47.4,1460.7,2,118.5,28.2,59.3
4.1,1352.7,2,4.1,84.9,17.8
47.8,1172.9,2,345.7,74.7,95.3
26.4,1505.7,1,214.2,97.9,91.2
15.3,1405.9,2,148.0,54.4,39.4
4.3,1940.1,2,33.8,76.4,15.8
25.3,1293.4,2,244.7,59.0,66.6
39.8,1715.1,2,99.0,20.9,52.9
35.5,554.7,2,345.9,19.0,72.5
3.0,1495.2,3,332.7,25.4,26.9
4.1,1985.8,2,257.4,40.2,37.6
20.4,854.8,2,339.9,37.0,52.1
15.1,1716.2,2,37.0,76.9,22.9
12.0,1597.3,1,98.0,75.9,38.5
14.4,140.4,1,88.6,97.6,45.7
40.3,1283.5,1,25.2,41.4,53.0
46.5,295.1,2,340.3,94.8,99.1
20.6,2128.4,1,21.0,67.1,27.1
45.4,1787.0,3,299.8,57.1,55.4
16.4,250.3,2,268.9,71.8,62.5
24.1,276.6,2,131.6,74.7,54.7
11.7,1311.9,1,6.6,29.6,5.0
32.2,765.3,1,2.1,78.9,53.0
49.0,86.4,1,71.4,76.6,74.4
30.4,1196.2,2,172.9,99.8,78.1
18.2,859.4,2,160.3,92.5,56.5
32.6,231.4,2,204.9,73.2,80.8
6.6,1766.2,2,270.2,75.6,51.4
44.5,2014.0,2,132.1,95.4,82.3
25.4,1666.9,1,56.1,97.2,55.3
22.7,1811.1,2,280.0,85.3,71.7
29.5,484.1,2,116.4,80.2,60.9
31.4,587.2,2,100.4,24.5,41.4
4.1,466.7,1,267.5,85.6,63.5
34.3,1685.5,2,326.9,36.5,71.6
12.5,2085.9,1,320.2,62.9,62.8
35.8,1579.9,3,48.1,49.5,29.1
41.2,1940.4,2,176.1,44.4,76.0
40.3,1408.8,3,32.5,41.4,32.0
27.8,859.0,2,336.3,87.7,79.6
26.2,942.4,1,75.3,80.4,52.3
7.6,175.0,2,69.1,59.5,18.1
38.9,78.9,1,311.1,71.5,99.5
13.9,1533.1,3,338.7,98.7,40.8
25.1,970.2,2,244.2,48.8,64.4
14.6,1219.4,2,42.4,61.8,20.5
7.1,1231.3,2,170.0,60.3,41.2
31.7,617.5,2,285.8,94.6,90.5
3.2,1052.2,3,200.4,44.9,26.5
37.6,1041.0,1,46.4,98.8,69.5
16.2,860.7,2,60.2,40.9,14.4
0.5,1807.3,2,302.4,24.3,38.1
25.8,998.0,3,184.5,31.3,35.3
2.8,1332.0,2,247.0,51.2,44.7
14.2,1971.2,3,130.6,70.2,24.9
35.5,1907.1,2,186.4,58.9,73.2
3.6,1960.0,1,342.0,47.0,50.1
42.0,601.3,2,115.4,62.8,72.1
0.7,86.6,2,236.2,86.3,3.5
12.7,581.7,2,60.4,86.3,32.3
37.2,620.4,1,42.6,76.7,68.9
16.2,2001.5,2,274.3,96.0,66.7
5.5,1431.8,1,295.4,65.2,56.2
18.3,188.9,3,233.9,15.7,33.0
13.9,306.5,1,55.4,39.7,16.1
42.2,350.9,2,84.2,42.9,58.1
16.0,1390.6,1,318.9,61.5,64.3
39.6,1620.6,1,101.0,91.9,87.0
44.6,1892.6,3,286.6,86.2,61.9
22.0,2070.0,1,100.1,34.7,34.2
45.5,451.7,1,328.8,59.1,99.5
19.2,688.4,1,320.1,71.0,73.5
48.2,536.3,2,15.1,98.9,59.5
4.9,795.7,2,269.6,17.7,39.5
34.5,2013.1,1,59.3,54.4,52.9
24.9,1269.5,2,75.3,99.0,51.9
19.7,1626.6,1,160.9,98.1,70.4
31.8,1083.4,3,201.7,43.1,44.6
35.3,73.2,2,114.0,15.0,49.3
0.7,150.6,3,201.4,64.9,28.9
8.8,1188.1,3,59.7,88.7,17.1
35.8,1584.1,1,7.8,42.6,42.6
33.5,481.6,1,199.9,94.4,99.5
48.3,1591.0,2,181.1,43.3,75.5
38.2,1785.4,1,241.4,66.9,99.5
47.6,912.1,1,227.4,76.4,99.5
35.3,1644.7,1,314.1,44.4,86.5
15.3,894.8,2,160.8,44.9,38.8
5.7,1495.6,2,2.9,54.9,5.0
39.2,1683.2,1,220.7,86.0,99.5
32.4,2182.3,1,236.3,23.6,79.0
2.9,766.4,2,182.5,68.7,40.6
18.3,910.2,1,241.3,72.6,70.4
47.9,372.7,3,113.3,62.4,44.6
25.3,456.9,1,52.1,94.5,54.6
21.9,1528.5,2,232.6,66.2,66.9
23.2,2018.3,2,85.8,68.9,40.3
10.8,874.2,1,159.7,66.0,49.5
18.8,403.9,2,172.1,76.4,55.2
18.8,634.4,2,167.0,26.5,39.2
3.1,1006.6,3,209.5,91.0,37.1
38.5,646.5,2,10.3,18.6,40.8
21.1,521.5,1,346.4,69.5,74.2
41.2,1621.8,1,250.7,67.3,99.5
42.6,27.2,1,148.9,32.7,74.0
11.0,1190.9,1,67.0,18.5,14.3
33.0,1748.3,2,28.1,26.8,34.2
23.9,593.0,3,235.3,38.1,38.8
44.1,1331.2,2,110.9,90.0,76.3
11.2,1474.9,2,80.3,87.7,33.1
34.1,1444.5,2,133.0,20.4,55.2
30.6,986.4,2,207.5,39.6,65.9
15.1,769.0,1,235.1,90.6,75.8
7.3,1840.7,2,225.8,35.1,39.1
32.8,1671.0,3,302.1,99.7,58.5
37.1,713.5,1,76.6,36.8,55.4
16.1,235.6,1,222.9,77.8,71.0
32.4,167.3,3,35.4,50.5,26.4
20.1,216.5,2,191.8,26.6,44.6
35.8,1286.5,1,204.4,36.7,84.4
10.4,123.1,2,75.7,72.4,25.2
44.6,747.9,2,137.1,43.6,67.5
14.7,1659.5,2,289.5,66.4,56.6
18.7,654.6,1,51.9,32.5,19.2
3.4,1681.6,1,152.1,53.1,37.9
6.0,1642.6,2,326.5,58.5,48.0
26.0,548.4,2,176.4,50.1,56.2
13.7,1606.1,3,253.8,31.8,31.5
41.9,1647.6,1,289.4,54.2,99.5
1.2,880.4,2,71.3,73.9,21.8
19.3,470.8,1,76.4,97.0,45.2
17.2,1151.6,2,265.5,82.1,65.4
1.5,2027.9,3,263.7,28.7,26.8
6.7,1410.8,2,21.1,38.2,3.4
21.0,388.7,1,112.9,21.7,38.3
24.9,1505.2,1,139.5,26.5,47.0
20.5,945.6,2,290.2,36.3,52.3
26.8,1305.4,2,147.7,32.0,45.7
30.0,1617.6,3,324.1,33.2,42.4
1.0,1137.7,2,348.8,34.6,39.2
23.5,1792.6,3,273.3,40.6,40.0
48.2,1591.5,2,233.2,25.7,82.8
26.2,1357.0,3,137.2,38.6,31.2
34.0,340.2,1,23.5,73.5,55.8
15.9,1840.7,3,200.6,35.1,27.9
38.8,2059.6,1,126.6,29.6,68.8
38.8,310.0,3,122.8,20.8,39.1
26.3,1079.2,1,240.7,57.5,78.0
48.8,577.0,2,162.3,86.6,86.1
6.7,1662.4,2,263.2,20.0,38.0
1.3,1590.4,3,139.4,61.1,21.8
38.6,318.5,2,52.8,70.3,57.8
40.5,1930.7,1,161.5,65.4,91.6
6.5,406.3,2,332.9,89.6,58.3
13.6,1756.0,1,280.5,88.6,72.1
1.4,1010.8,1,72.0,19.9,10.1
15.0,728.9,1,137.0,45.7,37.4
38.8,356.5,1,324.7,72.0,99.5
26.1,377.1,2,43.3,96.0,43.7
17.7,1459.5,3,88.9,83.4,26.1
18.9,1215.4,3,91.8,30.0,17.0
0.6,277.4,1,199.8,38.7,43.2
15.3,256.8,1,143.8,79.9,52.3
32.5,168.4,1,28.0,55.1,47.6
48.7,1638.9,1,220.2,61.5,99.5
42.4,1569.0,1,34.7,66.8,62.9
1.7,138.0,1,212.2,23.8,42.4
45.0,1237.0,2,177.5,87.8,88.3
39.3,195.4,2,172.8,88.4,86.7
39.1,1989.2,2,23.6,54.8,51.4
23.2,1996.6,1,223.7,68.3,76.5
20.2,1539.1,2,151.0,71.1,51.9
15.5,2038.4,2,143.9,31.1,31.0
3.8,1787.1,1,208.8,24.6,42.2
11.8,1824.5,1,212.2,16.8,48.8
12.7,1257.7,1,5.3,92.6,26.1
24.5,680.3,1,43.8,44.4,32.5
37.5,487.0,2,82.8,22.3,48.8
24.0,726.6,1,237.3,54.6,72.2
3.4,1386.4,2,201.9,21.4,35.8
47.9,388.1,1,265.2,22.2,90.9
47.2,576.4,2,259.2,56.6,88.2
39.4,1035.1,1,298.6,58.3,99.5
49.6,520.4,2,131.9,64.3,74.2
27.5,1299.1,1,120.8,70.8,62.2
48.2,2031.8,1,290.9,71.8,99.5
4.2,1648.3,3,83.2,51.8,11.7
18.6,1469.5,2,161.4,69.7,50.5
11.7,1286.2,1,68.0,40.9,14.4
10.2,1078.6,2,319.8,52.5,47.9
7.5,418.6,2,142.7,48.4,27.9
31.3,1969.4,2,74.4,43.0,41.4
39.2,554.3,2,242.2,35.3,77.5
29.1,210.0,3,85.6,21.7,22.2
7.8,1652.5,1,330.2,58.0,56.7
40.7,394.6,1,128.7,60.7,83.1
32.0,824.5,1,232.6,43.6,81.3
19.7,71.9,2,120.8,97.9,52.0
33.9,310.2,3,282.5,62.3,53.4
13.4,389.3,2,313.9,90.6,64.1
17.6,129.2,2,275.8,63.5,57.1
45.9,1448.1,3,297.0,31.1,52.4
14.9,1843.0,2,35.7,97.8,31.9
23.8,827.6,2,323.4,90.3,77.0
44.6,1925.3,3,218.5,55.1,56.8
35.5,477.2,1,304.2,35.7,85.0
3.6,722.6,2,239.6,33.9,37.7
7.8,340.1,2,70.6,83.5,29.3
0.9,1369.0,3,213.3,20.9,26.5
31.7,929.5,3,31.8,69.2,26.6
22.7,1353.1,2,243.5,69.4,68.9
7.1,1678.1,3,143.2,30.5,18.8
47.9,1205.1,2,53.1,74.9,62.9
26.7,1384.5,1,342.7,75.0,87.2
12.5,2058.2,1,315.4,44.8,52.8
25.3,665.0,2,312.7,56.1,65.0
34.1,796.6,2,276.1,85.8,89.0
4.3,1581.8,2,242.2,59.5,46.3
14.1,1348.8,2,229.3,67.5,54.7
40.4,401.0,3,37.1,50.1,32.6
23.3,833.8,1,315.2,27.7,65.0
27.6,1034.6,3,308.4,99.8,50.8
21.9,928.5,3,261.7,60.2,41.2
2.7,400.4,2,324.6,43.6,41.3
8.7,2034.5,2,193.6,75.7,49.7
22.6,1679.5,2,156.7,67.8,54.8
10.9,1064.2,2,338.8,34.8,42.4
3.0,1499.3,1,162.4,89.5,53.0
42.3,1975.0,1,224.5,21.0,93.6
49.1,308.2,1,130.6,66.5,85.6
39.8,558.3,1,222.7,55.6,99.5
42.8,1198.5,1,252.0,42.0,94.8
12.5,1759.8,1,218.6,85.2,70.2
48.1,89.4,2,180.1,70.8,85.2
10.2,2165.0,3,105.0,79.6,24.3
47.6,1006.2,2,225.3,50.2,85.3
49.7,796.7,3,318.0,95.1,64.9
35.7,651.1,2,2.4,44.3,41.6
49.1,391.8,2,46.9,60.1,53.7
28.7,1743.5,2,41.9,94.4,49.1
13.3,2102.4,1,323.1,22.1,50.6
22.1,915.9,2,232.0,24.2,53.6
29.9,2095.8,3,333.1,99.5,53.5
4.1,1814.1,2,204.0,97.6,54.6
31.3,1063.5,1,161.6,80.6,81.9
49.1,1486.1,2,277.3,56.2,88.4
9.9,962.6,1,56.3,58.0,21.4
39.7,1233.6,1,133.5,36.9,69.8
45.4,137.1,2,163.2,51.8,73.2
47.2,1534.8,2,104.5,51.7,63.9
48.0,125.7,2,129.9,18.1,63.0
26.3,1799.4,3,27.3,53.5,17.2
48.9,1816.6,2,69.3,55.8,59.4
38.0,529.2,2,117.4,71.6,69.7
8.5,718.8,1,278.6,58.9,57.0
24.1,1064.1,1,63.9,88.2,51.0
36.1,1316.7,2,121.3,46.2,56.1
12.7,639.3,2,22.7,49.8,11.3
32.2,1307.5,1,195.0,63.6,84.6
33.5,662.2,1,213.9,32.2,79.5
8.6,131.5,2,302.9,48.4,44.2
28.5,15.5,2,286.7,73.3,79.0
38.7,231.5,2,99.9,50.0,57.0
25.2,1745.0,2,47.9,92.1,43.5
1.1,2115.5,1,54.6,67.3,19.7
0.9,945.1,2,339.1,28.1,38.0
18.2,1132.8,3,235.6,56.4,38.1
46.3,331.6,1,14.9,80.0,68.4
11.8,1216.8,2,47.9,69.7,23.6
31.9,326.8,2,170.0,90.2,78.5
11.5,1348.6,2,72.7,78.7,26.7
16.4,2053.8,1,281.3,20.2,51.9
42.5,438.6,3,200.6,24.6,51.7
36.6,1684.4,2,214.4,70.2,88.9
5.2,61.5,2,162.0,35.3,3.1
21.7,832.3,1,89.6,65.0,43.2
1.9,252.5,2,206.3,82.3,52.8
24.3,781.9,2,250.9,64.0,66.8
33.3,390.0,1,129.8,50.3,64.2
6.4,827.5,1,176.7,69.9,49.8
14.8,924.4,2,293.9,27.2,48.8
20.2,668.3,1,52.0,76.5,38.5
46.0,1448.0,2,190.8,74.2,91.0
49.7,2022.3,1,121.9,58.7,78.2
2.7,887.3,1,246.0,38.7,42.9
38.2,431.2,2,6.6,82.8,57.9
18.9,602.9,1,234.7,58.4,67.0
19.9,1880.3,3,36.0,20.0,12.4
37.8,1261.9,3,22.7,93.1,40.8
46.0,1006.5,2,253.6,80.3,96.0
47.6,337.7,2,224.1,64.7,92.8
29.1,994.9,3,313.2,52.1,43.9
18.2,619.9,1,181.9,96.6,70.1
39.5,2075.5,2,185.5,80.9,91.1
12.9,1946.1,1,247.5,60.5,58.5
28.4,193.7,2,113.2,70.5,54.1
18.2,1141.5,2,12.9,38.9,14.6
33.0,502.9,2,80.5,31.6,43.6
12.4,909.6,1,83.3,38.2,19.3
10.0,1930.3,1,117.5,39.9,27.3
46.0,1165.3,2,330.2,77.9,93.9
5.5,741.9,1,281.7,26.9,42.9
25.5,465.3,2,327.6,81.1,75.6
11.4,1762.7,2,349.5,59.5,51.7
2.4,1377.7,1,151.8,47.7,32.0
2.3,1035.1,1,79.5,40.5,17.0
9.2,486.3,2,196.0,58.6,42.0
43.4,742.0,2,308.4,42.0,82.6
14.5,2112.1,1,163.0,51.5,46.4
47.5,1149.0,1,176.9,77.8,97.9
29.3,887.5,1,47.1,68.2,50.7
22.1,1151.9,1,147.2,78.6,62.6
29.2,1716.0,2,135.4,75.6,61.7
26.1,754.8,2,123.1,84.3,58.3
38.1,401.4,2,310.6,32.1,74.7
14.5,1291.0,2,20.8,99.6,26.2
18.0,1466.8,1,340.3,55.4,67.2
44.8,1570.9,2,2.9,76.0,56.8
47.3,1941.6,2,331.0,72.6,89.6
44.7,822.9,2,191.8,63.1,84.8
21.3,175.0,2,245.9,99.6,72.9
39.1,2108.8,2,65.5,33.5,48.7
24.1,962.7,2,229.0,50.8,59.3
25.1,1374.9,1,308.7,25.9,66.5
10.6,1469.2,2,48.8,30.5,7.2
29.8,1206.9,2,44.5,75.6,45.6
9.7,459.5,3,106.4,15.4,12.6
16.9,1663.8,2,56.6,90.6,36.6
42.8,1770.2,2,38.7,68.8,59.7
10.8,1221.0,2,237.4,52.5,51.3
4.0,1079.9,3,74.8,43.2,6.4
3.9,259.5,3,233.5,25.7,24.1
47.1,193.9,2,301.7,93.3,99.5
25.6,753.6,2,228.2,75.5,73.1
20.8,690.8,1,41.8,43.6,20.3
40.6,2098.5,2,200.8,21.0,76.6
41.9,1726.1,2,137.8,42.7,68.3
16.9,1455.2,2,120.2,30.7,25.9
34.8,1143.6,1,111.5,81.8,77.7
38.7,376.5,2,325.3,76.2,90.0
32.9,2152.8,1,259.9,57.3,89.9
8.0,831.3,2,46.8,90.3,26.5
43.9,244.2,1,166.6,30.4,79.2
27.2,1091.4,2,111.4,53.4,45.2
14.5,1924.1,1,342.3,75.4,66.6
21.5,1953.2,1,342.3,20.8,62.8
2.4,34.0,2,111.8,46.7,0.5
6.8,1951.0,1,123.2,63.6,35.2
38.4,604.6,2,209.8,46.2,78.9
0.5,95.3,3,167.8,55.8,5.1
21.1,1866.7,3,74.6,66.7,25.6
26.4,1901.9,1,231.1,46.3,76.3
3.2,1315.7,2,116.9,24.0,20.8
